x	ch0	ch1	ch2	ch3
266	129	25208	126	25212
267	129	25207	127	25214
268	130	25208	127	25213
269	130	25208	127	25213
270	130	25207	127	25213
271	130	25208	127	25212
272	130	25207	127	25212
273	129	25207	126	25213
274	130	25208	126	25213
275	130	25208	127	25213
276	130	25208	127	25213
277	130	25208	127	25212
278	130	25207	127	25213
279	130	25208	127	25212
280	130	25208	126	25213
281	129	25207	126	25212
282	129	25208	127	25212
283	130	25207	127	25212
284	130	25207	127	25212
285	130	25209	126	25213
286	130	25208	127	25213
287	130	25208	126	25212
288	129	25208	127	25213
289	130	25208	127	25213
290	130	25208	127	25213
291	130	25209	127	25214
292	130	25208	127	25213
293	130	25208	127	25212
294	130	25207	127	25212
295	129	25207	127	25212
296	130	25207	127	25213
297	130	25208	127	25212
298	130	25208	127	25212
299	130	25208	127	25213
300	129	25208	126	25212
301	129	25207	126	25212
302	130	25206	126	25213
303	130	25208	127	25212
304	130	25208	127	25213
305	130	25208	127	25213
306	130	25208	127	25213
307	130	25207	127	25212
308	129	25208	126	25213
309	129	25209	126	25213
310	130	25208	126	25213
311	129	25209	127	25213
312	130	25208	126	25213
313	130	25208	127	25213
314	130	25208	127	25213
315	130	25208	127	25213
316	130	25208	126	25213
317	129	25208	127	25213
318	130	25208	127	25213
319	130	25208	127	25212
320	130	25208	127	25214
321	130	25209	127	25213
322	130	25208	127	25212
323	130	25207	126	25212
324	130	25208	126	25212
325	130	25207	126	25213
326	130	25209	127	25214
327	130	25208	127	25212
328	130	25208	127	25213
329	130	25208	127	25212
330	130	25207	127	25212
331	129	25207	126	25214
332	129	25208	126	25213
333	130	25208	127	25213
334	130	25209	127	25214
335	130	25209	127	25213
336	130	25208	127	25213
337	129	25207	126	25213
338	129	25209	126	25213
339	130	25208	126	25213
340	130	25208	126	25213
341	130	25208	127	25213
342	130	25208	127	25213
343	130	25208	127	25213
344	130	25208	126	25212
345	130	25208	127	25212
346	129	25208	126	25212
347	130	25208	126	25213
348	130	25207	127	25212
349	130	25209	127	25213
350	130	25208	127	25213
351	130	25208	127	25212
352	129	25208	126	25212
353	130	25208	126	25212
354	129	25208	127	25212
355	129	25209	127	25214
356	129	25209	127	25213
357	130	25209	127	25214
358	130	25209	127	25214
359	129	25208	127	25213
360	129	25208	126	25214
361	130	25208	126	25214
362	129	25209	127	25214
363	130	25209	127	25213
364	130	25208	127	25213
365	129	25209	127	25213
366	130	25208	126	25213
367	129	25209	127	25214
368	129	25208	126	25213
369	130	25208	126	25213
370	130	25209	127	25213
371	130	25208	127	25213
372	130	25209	127	25214
373	130	25209	126	25213
374	129	25208	126	25213
375	129	25208	127	25213
376	130	25209	126	25213
377	130	25207	127	25213
378	130	25209	127	25214
379	130	25209	126	25213
380	130	25209	127	25213
381	129	25209	127	25213
382	130	25208	126	25213
383	129	25208	127	25212
384	130	25208	127	25213
385	130	25209	126	25214
386	130	25209	127	25214
387	130	25208	127	25214
388	130	25208	127	25213
389	129	25208	127	25213
390	129	25208	126	25213
391	130	25208	127	25212
392	130	25208	127	25213
393	130	25208	127	25213
394	130	25208	127	25212
395	130	25208	127	25213
396	130	25209	126	25213
397	129	25208	126	25213
398	129	25208	126	25213
399	130	25208	127	25213
400	130	25208	127	25213
401	130	25208	127	25214
402	130	25209	127	25214
403	129	25209	126	25214
404	129	25209	126	25213
405	130	25209	126	25213
406	129	25208	127	25214
407	130	25209	127	25214
408	130	25209	127	25214
409	130	25209	127	25213
410	130	25209	126	25213
411	130	25208	126	25213
412	130	25208	127	25213
413	130	25209	127	25213
414	130	25208	127	25213
415	130	25208	127	25214
416	130	25209	127	25213
417	130	25208	126	25213
418	130	25208	126	25213
419	129	25209	127	25214
420	130	25208	127	25213
421	130	25209	127	25213
422	130	25209	127	25214
423	130	25209	127	25213
424	130	25208	127	25213
425	129	25209	126	25214
426	129	25209	127	25213
427	129	25209	126	25213
428	130	25208	127	25213
429	130	25209	127	25213
430	130	25208	126	25214
431	130	25209	127	25214
432	130	25208	127	25213
433	130	25208	126	25213
434	130	25208	127	25213
435	129	25208	126	25213
436	130	25209	127	25214
437	130	25209	127	25214
438	130	25208	126	25213
439	130	25208	127	25213
440	129	25208	127	25213
441	130	25208	126	25213
442	129	25209	127	25213
443	130	25209	127	25214
444	130	25209	127	25213
445	130	25208	127	25213
446	130	25208	127	25213
447	130	25208	126	25213
448	129	25209	126	25214
449	129	25209	126	25214
450	130	25209	127	25214
451	130	25209	127	25214
452	130	25209	127	25214
453	130	25209	127	25214
454	130	25209	126	25214
455	130	25209	127	25214
456	129	25209	126	25214
457	129	25208	127	25214
458	130	25209	127	25214
459	130	25209	127	25214
460	130	25209	127	25214
461	130	25209	127	25213
462	129	25208	126	25213
463	130	25208	127	25214
464	129	25208	127	25214
465	130	25209	126	25214
466	130	25209	127	25214
467	130	25208	127	25214
468	130	25209	127	25213
469	130	25209	126	25213
470	130	25208	126	25213
471	129	25209	126	25214
472	129	25210	127	25214
473	130	25209	127	25214
474	130	25209	127	25214
475	130	25209	127	25213
476	129	25208	126	25213
477	130	25209	127	25214
478	129	25209	126	25214
479	129	25209	127	25214
480	130	25209	127	25214
481	130	25209	127	25214
482	130	25209	127	25214
483	130	25209	127	25214
484	130	25209	126	25213
485	129	25209	126	25214
486	129	25209	126	25214
487	130	25208	127	25213
488	130	25209	127	25214
