x	ch0	ch1	ch2	ch3
266	130	25202	127	25207
267	130	25202	127	25207
268	130	25203	128	25207
269	130	25202	127	25207
270	130	25203	128	25208
271	130	25203	127	25207
272	130	25203	127	25207
273	130	25203	127	25207
274	130	25202	127	25207
275	130	25203	128	25207
276	130	25203	127	25207
277	130	25204	127	25207
278	130	25203	128	25208
279	130	25203	127	25207
280	130	25203	127	25207
281	130	25202	127	25207
282	130	25203	127	25208
283	130	25203	127	25208
284	130	25203	127	25207
285	130	25203	127	25207
286	130	25203	127	25207
287	130	25202	127	25207
288	130	25203	127	25207
289	130	25202	127	25207
290	130	25203	127	25207
291	130	25203	128	25208
292	130	25202	127	25207
293	130	25203	127	25209
294	130	25204	127	25208
295	129	25203	127	25208
296	130	25203	127	25208
297	130	25204	127	25208
298	130	25203	127	25207
299	130	25204	127	25208
300	130	25203	127	25208
301	130	25203	127	25207
302	130	25203	127	25207
303	129	25203	127	25207
304	130	25203	127	25207
305	130	25203	127	25208
306	130	25203	127	25208
307	130	25203	128	25208
308	130	25203	127	25208
309	130	25203	127	25207
310	130	25202	127	25207
311	129	25203	127	25208
312	130	25204	127	25208
313	130	25203	127	25208
314	131	25203	127	25208
315	131	25203	127	25207
316	130	25202	127	25208
317	130	25203	127	25208
318	130	25203	127	25208
319	130	25203	128	25208
320	130	25203	127	25208
321	130	25203	127	25207
322	130	25203	127	25208
323	129	25203	127	25208
324	129	25203	127	25208
325	130	25203	127	25208
326	130	25203	127	25208
327	130	25203	127	25208
328	130	25204	127	25208
329	130	25203	127	25208
330	130	25203	127	25208
331	130	25204	127	25207
332	129	25203	127	25207
333	130	25202	127	25207
334	130	25204	128	25208
335	130	25203	127	25208
336	130	25203	127	25208
337	130	25202	127	25207
338	130	25203	127	25207
339	130	25203	127	25207
340	130	25203	127	25208
341	130	25204	127	25208
342	130	25204	127	25208
343	130	25203	127	25208
344	131	25204	127	25207
345	130	25203	127	25208
346	129	25203	127	25208
347	130	25203	127	25208
348	130	25204	127	25208
349	130	25203	127	25208
350	130	25203	127	25208
351	130	25203	127	25208
352	130	25203	127	25208
353	129	25203	127	25208
354	129	25203	127	25207
355	130	25203	127	25208
356	130	25203	128	25208
357	130	25203	127	25209
358	130	25204	127	25208
359	130	25202	127	25208
360	130	25203	127	25207
361	130	25203	127	25208
362	130	25202	127	25208
363	130	25204	127	25208
364	130	25204	127	25208
365	130	25203	127	25208
366	130	25203	127	25208
367	129	25203	127	25208
368	130	25202	126	25207
369	130	25204	127	25208
370	130	25204	128	25208
371	130	25203	127	25208
372	130	25203	127	25208
373	130	25203	127	25207
374	130	25203	127	25207
375	130	25203	127	25208
376	130	25204	127	25207
377	130	25203	127	25208
378	130	25203	127	25208
379	130	25203	128	25208
380	130	25203	128	25208
381	130	25203	127	25208
382	130	25203	127	25207
383	130	25203	128	25208
384	130	25203	127	25207
385	130	25203	127	25207
386	130	25203	127	25208
387	130	25204	127	25208
388	130	25204	127	25209
389	130	25204	127	25208
390	130	25204	127	25208
391	130	25203	128	25207
392	130	25204	127	25208
393	130	25204	128	25209
394	130	25203	127	25208
395	130	25204	127	25208
396	130	25203	127	25208
397	130	25203	127	25207
398	130	25204	127	25208
399	130	25204	127	25208
400	130	25204	127	25208
401	130	25204	127	25208
402	130	25203	127	25208
403	130	25203	127	25208
404	130	25203	127	25208
405	130	25203	127	25208
406	130	25203	127	25208
407	130	25203	128	25208
408	130	25203	127	25207
409	130	25203	127	25209
410	130	25204	127	25208
411	130	25203	127	25208
412	130	25203	127	25208
413	130	25203	127	25208
414	130	25204	127	25208
415	130	25203	127	25208
416	130	25204	127	25208
417	130	25204	127	25208
418	130	25203	127	25208
419	129	25203	127	25207
420	129	25203	127	25208
421	130	25203	127	25208
422	130	25204	128	25208
423	130	25203	127	25208
424	130	25204	127	25207
425	130	25203	127	25208
426	130	25203	127	25207
427	129	25203	127	25208
428	129	25203	127	25208
429	130	25203	127	25207
430	130	25203	127	25208
431	130	25203	127	25208
432	130	25202	127	25207
433	130	25204	127	25209
434	129	25204	127	25208
435	130	25204	127	25208
436	130	25204	127	25208
437	130	25204	127	25208
438	130	25204	127	25208
439	130	25204	127	25208
440	129	25204	127	25208
441	130	25203	127	25208
442	130	25203	126	25208
443	130	25204	127	25208
444	130	25203	128	25209
445	130	25203	127	25208
446	130	25203	127	25208
447	130	25203	127	25207
448	130	25203	127	25208
449	130	25203	127	25208
450	129	25203	127	25208
451	130	25204	127	25209
452	130	25203	127	25208
453	130	25203	127	25208
454	130	25203	127	25208
455	130	25202	127	25208
456	130	25204	127	25208
457	130	25204	126	25209
458	130	25203	127	25209
459	130	25204	127	25208
460	130	25204	127	25208
461	130	25203	127	25207
462	130	25204	127	25208
463	130	25203	127	25208
464	130	25203	127	25208
465	130	25203	128	25208
466	130	25203	127	25208
467	130	25204	128	25208
468	130	25204	127	25209
469	130	25203	127	25208
470	130	25203	127	25208
471	130	25203	127	25208
472	130	25204	128	25208
473	130	25203	128	25208
474	130	25204	128	25209
475	130	25204	127	25208
476	130	25203	127	25208
477	129	25203	127	25207
478	129	25203	127	25207
479	130	25202	127	25209
480	130	25204	127	25209
481	130	25204	127	25209
482	130	25204	127	25209
483	130	25203	127	25208
484	130	25203	127	25208
485	130	25203	127	25208
486	130	25204	127	25209
487	130	25204	127	25209
488	130	25204	128	25209
489	130	25204	127	25209
490	130	25203	127	25208
491	130	25203	127	25208
492	130	25204	127	25208
493	130	25203	127	25208
494	129	25204	127	25208
495	130	25204	128	25208
496	130	25204	128	25208
497	130	25204	127	25208
498	130	25203	127	25208
499	130	25203	127	25208
500	130	25203	127	25208
501	130	25203	127	25208
502	130	25203	127	25208
503	130	25204	127	25209
504	130	25205	128	25208
505	130	25203	126	25208
506	130	25203	127	25208
507	130	25203	127	25207
508	130	25203	127	25209
509	130	25204	127	25208
510	130	25204	127	25208
511	130	25204	127	25208
512	229	25104	226	25108
513	228	25104	225	25109
514	228	25104	225	25109
515	228	25104	225	25108
516	228	25104	226	25109
517	228	25104	226	25109
518	228	25105	225	25109
519	228	25103	226	25108
520	228	25104	226	25108
521	228	25105	225	25109
522	228	25103	225	25108
523	228	25104	226	25108
524	229	25104	226	25108
525	229	25103	226	25108
526	228	25105	225	25109
527	228	25104	225	25109
528	228	25105	226	25109
529	228	25104	225	25109
530	228	25104	225	25109
531	228	25104	226	25108
532	229	25105	225	25109
533	228	25105	226	25109
534	228	25104	225	25109
535	228	25103	225	25109
536	228	25104	226	25108
537	228	25104	225	25109
538	229	25104	225	25109
539	228	25104	226	25109
540	229	25104	225	25109
541	228	25104	226	25108
542	228	25104	225	25108
543	228	25104	225	25109
544	228	25104	225	25109
545	228	25104	226	25109
546	229	25104	225	25109
547	228	25104	226	25108
548	228	25104	226	25109
549	228	25103	224	25109
550	227	25104	224	25108
551	227	25104	224	25108
552	227	25103	225	25109
553	228	25105	226	25109
554	228	25104	225	25108
555	228	25104	225	25109
556	228	25105	225	25109
557	228	25104	226	25108
558	228	25104	225	25108
559	228	25103	225	25108
560	228	25104	226	25108
561	229	25105	225	25109
562	228	25104	226	25109
563	228	25104	226	25108
564	228	25104	225	25109
565	228	25104	225	25108
566	227	25104	225	25108
567	228	25104	225	25109
568	228	25104	226	25108
569	228	25105	226	25109
570	228	25104	226	25109
571	228	25103	225	25108
572	228	25103	225	25110
573	228	25105	225	25109
574	228	25104	225	25109
575	228	25105	225	25110
576	228	25105	226	25110
577	228	25105	225	25109
578	229	25104	226	25109
579	228	25105	225	25109
580	228	25105	225	25109
581	228	25104	225	25110
582	228	25105	226	25109
583	229	25104	225	25109
584	228	25105	225	25109
585	228	25105	225	25109
586	228	25104	225	25109
587	227	25104	225	25109
588	228	25104	225	25109
589	228	25104	226	25108
590	228	25104	226	25109
591	228	25105	225	25109
592	228	25104	226	25109
593	228	25104	225	25109
594	228	25104	225	25109
595	228	25104	225	25108
596	228	25105	225	25109
597	229	25105	225	25109
598	228	25105	226	25109
599	228	25104	225	25109
600	228	25104	225	25108
601	228	25104	225	25109
602	228	25105	225	25110
603	228	25105	225	25109
604	229	25105	226	25109
605	228	25104	225	25109
606	228	25104	226	25108
607	228	25104	225	25109
608	228	25104	226	25109
609	228	25104	225	25109
610	228	25103	225	25109
611	228	25104	225	25109
612	228	25104	226	25108
613	228	25104	225	25109
614	228	25105	226	25109
615	228	25103	225	25109
616	228	25104	225	25109
617	228	25104	226	25109
618	228	25103	226	25109
619	228	25105	225	25111
620	228	25105	226	25110
621	228	25105	225	25110
622	228	25105	225	25110
623	228	25105	225	25110
624	228	25105	225	25109
625	228	25106	225	25110
626	228	25106	225	25111
627	228	25105	225	25110
628	228	25105	225	25110
629	228	25105	225	25110
630	228	25105	225	25110
631	228	25105	225	25110
632	228	25105	225	25110
633	228	25106	225	25110
634	228	25104	226	25110
635	228	25105	225	25109
636	228	25105	226	25110
637	228	25105	225	25109
638	228	25105	225	25109
639	228	25105	225	25110
640	228	25105	225	25109
641	228	25105	225	25109
642	228	25104	225	25110
643	228	25106	225	25110
644	227	25105	225	25110
645	228	25105	225	25109
646	228	25105	225	25110
647	228	25104	226	25109
648	228	25106	225	25111
649	228	25107	226	25110
650	228	25105	225	25111
651	228	25105	225	25110
652	228	25105	225	25109
653	228	25104	225	25109
654	228	25105	225	25109
655	228	25105	225	25110
656	228	25105	225	25110
657	229	25105	225	25109
658	228	25105	225	25109
659	228	25104	225	25109
660	228	25105	225	25110
661	228	25104	225	25109
662	228	25105	225	25110
663	228	25105	225	25110
664	229	25105	225	25109
665	227	25104	225	25110
666	228	25105	225	25111
667	228	25106	226	25109
668	227	25105	225	25110
669	228	25105	225	25110
670	228	25105	225	25110
671	228	25105	225	25111
672	228	25106	226	25111
673	228	25106	225	25110
674	228	25104	225	25110
675	228	25105	225	25110
676	228	25105	225	25109
677	228	25106	225	25110
678	228	25106	226	25110
679	228	25105	225	25110
680	228	25105	225	25109
681	228	25105	225	25109
682	228	25104	225	25109
683	228	25105	226	25110
684	228	25106	225	25111
685	229	25105	225	25110
686	228	25105	226	25110
687	228	25105	225	25109
688	228	25104	225	25109
689	228	25106	225	25110
690	228	25106	225	25110
691	228	25105	225	25110
692	228	25106	226	25110
693	228	25106	225	25110
694	228	25105	226	25110
695	228	25105	224	25110
696	228	25105	225	25109
697	228	25106	225	25110
698	228	25105	225	25110
699	228	25105	226	25110
700	228	25105	225	25110
701	228	25105	226	25110
702	228	25105	225	25110
703	227	25105	225	25110
704	228	25105	225	25110
705	228	25104	225	25109
706	228	25104	225	25111
707	228	25105	225	25110
708	228	25104	225	25110
709	228	25105	225	25110
710	228	25105	225	25109
711	228	25104	225	25109
712	228	25105	225	25110
713	227	25106	226	25111
714	228	25106	225	25111
715	228	25105	226	25110
716	228	25105	225	25110
717	228	25105	225	25109
718	228	25105	225	25110
